"patent_id","名称","申请号","摘要"
"10009548","线虫的液体培养","CN85107423.5","昆虫致病性线虫可用作生物杀虫剂来防治某些害虫。至今在商业上使用线虫生物杀虫剂由于不能大规模培养和生产线虫而受到限制。现已发现，只要小心控制某些参数，昆虫致病性线虫可以用液体培养于发酵罐中进行大规模培养。特别是发现，如果尽量减低剪力并小心控制充气和搅动，便可使线虫及其共生细菌的生长最佳化。"
"10014491","用啤酒糟养殖蚯蚓生产动物蛋白的方法","CN87105507.4","本发明属于一种利用啤酒糟养殖蚯蚓生产动物性蛋白饲料的方法.其特征是通过晾于、堆沤发酵的办法使啤酒糟纤维分解，升高碳/氮比值，使氨气逸出，减少其有害作用；全用醋酸或磷酸二氢铵调节其pH值：养殖时加入一定比例的统糠，提高其透气性和碳/氮比值，使啤酒糟便于蚯蚓消化吸收、正常生长繁殖。采用本发明可使利用价值低的啤酒糟转化为动物性蛋白饲料，为处理啤酒糟和养殖蚯蚓提供了一条新的途径。"
"10014707","给鱼接种的方法和机器","CN88108180.9","本发明涉及快速为鱼个别接种的方法以及实行该方法的可靠高效的机器。本方法的特征在于首先使鱼在麻醉水槽中麻醉，然后把麻醉后沉底的鱼向上输送至单向装置(4)使鱼头向前继续传送，然后经过侧边翻转装置使鱼侧翻，再送入接种装置(7)，其中的注射装置为鱼个别地接种。实行本方法的机器包括麻醉水槽：把麻醉后的鱼从水槽送向单向装置的传送装置，然后经过侧边翻转装置送至接种室，其中的注射装置给鱼个别地接种。"
"10074148","钓鱼竿用钓线引导器","CN99102462.1","一种钓鱼竿用钓线引导器，具有：形成大致平行地前后延伸的穿线孔及穿竿孔的躯干、内嵌于穿线孔前端部的引导环，穿竿孔的前端位于比穿线孔前端靠后的位置，在穿线孔周壁部中位于前端部以后的部分设置以随着向前方的延伸而脱离穿竿孔的状态倾斜的脱线引导斜面，该斜面的前端位于比周壁部的前端部外周面上与穿竿孔相反一侧的顶部更靠近穿竿孔的位置，且在外周面中从脱线引导斜面的前端起到顶部为止的范围内，其左右宽度随着向该顶部的接近而变窄。本发明可以缓和斜面的倾斜角度而不会增加躯干的全长。$＃!"
"10074149","钓鱼竿用钓线引导环","CN96122856.3","一种钓鱼竿用钓线引导环，引导环保持部和以外嵌状态安装于钓竿上的套管部用合成树脂一体形成，引导环保持部为在其一端都保持引导环、而其余部分被与轴斜交的面切除的形状，由此而形成随着向另一端延伸而逐渐接近套管部的钓线缠绕解除斜面；该钓线缠绕解除斜面的另一端到达套管部的另一端开口边缘；套管部的一端位于比引导环保持部的一端更向另一端后退的位置。从而，即使延长钓线缠绕解除斜面的尺寸，套管部也不会延长；不会破坏钓竿的可挠性。$＃!"
"10074160","对虾养殖方法","CN97108658.3","本发明涉及一种对虾养殖方法，该方法含有如下步骤：①清池底泥预处理，先清池处理后，再用BI型净水宝对底泥底水预处理。②进水与放苗，在虾池引进海水时，在进水口边进边加BE型净水宝对水质进行处理并静晒；然后在虾池中放苗；③水质保护，放苗后每6—8天泼洒BE型净水宝，并调整池水pH值和池水透明度;④促虾脱壳，每6—8天换海水，并边换边加BE型净水宝及脱壳素;⑤虾病常规治理；本发明的方法可快速调整水质、稳定pH值、增加溶解氧、消除有害菌、抑制氨氮形成、提高鱼虾产量。$＃!"
"10081474","家养食肉动物的咀嚼玩具及其制造方法","CN97199885.X","家养食肉动物的咀嚼玩具(10)具有生皮(11)和肉干片或件(12)。肉干片(12)通过卷拢或折叠卷绕在生皮片(11)中。这提供一个生皮的外层(18)，其中包含肉干。在生皮外层(18)中通过生皮片(11)的卷拢或折叠产生一个缝隙(19)。该肉干(12)最好通过该缝隙(19)伸出，以便对狗提供初始的有吸引力的香气和味道，并提供一个立即的咀嚼起点。在咀嚼玩具(10)的整个咀嚼过程期间，使肉干(12)和生皮的效果最好。狗被肉干条(12)的香气和味道高度吸引，这引诱狗长时间咀嚼生皮(11)。这更好地满足狗所固有的咀嚼愿望，沿健康的方向引导它们，同时减少狗牙上的酒石。肉干条(12)相对于生皮(11)这样安置，使得肉干条(12)对狗始终存在新鲜的香气和味觉。$#!"
"10081774","观赏鱼水槽水的过滤装置","CN97197776.3","一种用于观赏鱼水槽水的和在饲养有观赏鱼的水槽中通过过滤件而进行水的强制循环的过滤装置，其构成为：由盒本体(1)和盖部件(2)所形成的框体(3)；将框体(3)的内部分割成过滤室(4a～4f)的分隔壁(5a～5e)；以及可以相对于过滤室(4a～4f)分别进行安装和拆卸的、并一个个地装入有多种过滤件的过滤件收容箱(6a～6f)。该过滤装置足以使水呈曲折状通过过滤件的方式而构成着的，由此，可以使该过滤装置的尺寸实现小型化，且可以容易地对过滤件进行装卸。$"
"10082123","含有三萜类皂素提取物的饲料组合物和营养保健剂","CN96193005.5","本发明提供了一种促进动物生长，提高动物免疫机能的方法，它包括给动物服用一种得自油料作物种子残渣的具有生物活性的添加剂，特别是由油茶饼或茶叶籽饼中提取的三萜类皂素。$#!"
"10082630","动物养殖箱","CN97180608.X","在用于动物养殖的动物箱中，支撑动物的整个表面(21)由一环形带(14)构成，它可在箱子的纵向上间歇运动，动物都位于所述表面(21)上。动物主要停留的那部分表面在带(14)入口端(A)处逐渐增加，并且逐渐转变成动物主要留下其粪便的那部分表面。后者那部分表面逐渐在排出肥料的带(14)出口端(B)上消失。例如一用于输送稻草的杂物运送装置设置在带的入口端(A)，并且一带清洁器(22)设置在带的出口端(B)上。"
